"리밸런싱날짜","펀드설명","ISIN","weight","설정일","자산군_대","자산군_소"
2024-11-22,"ACETDF_2055","US9229087369",0.3544,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2055","US9229087443",0.2581,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2055","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2055","US9220428588",0.0726,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2055","US78463V1070",0.1181,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2055","KR7356540005",0.1186,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2055","KR7152380002",0.0501,2023-05-12,"채권","한국 10년국고채권"
2024-11-22,"ACETDF_2060","US9229087369",0.3788,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2060","US9229087443",0.2759,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2060","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2060","US9220428588",0.0795,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2060","US78463V1070",0.1263,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2060","KR7356540005",0.073,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2060","KR7152380002",0.0384,2023-05-12,"채권","한국 10년국고채권"
2024-11-22,"ACETDF_2065","US9229087369",0.4001,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2065","US9229087443",0.2914,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2065","US9219438580",0.0289,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2065","US9220428588",0.0847,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2065","US78463V1070",0.1334,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2065","KR7356540005",0.0373,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2065","KR7152380002",0.0241,2023-05-12,"채권","한국 10년국고채권"
2024-11-22,"ACETDF_2070","US9229087369",0.4155,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2070","US9229087443",0.3026,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2070","US9219438580",0.03,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2070","US9220428588",0.0879,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2070","US78463V1070",0.1385,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2070","KR7356540005",0.0143,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2070","KR7152380002",0.0112,2023-05-12,"채권","한국 10년국고채권"
