순번,산출일자,펀드,,펀드유형,기준가격,,과표기준가격,,비거주자 과표기준가격,,해외비과세과표기준가격,,결산전 기준가격,,,설정규모,,,자산구성비중(%),,,수정기준가격,예금,운용팀,매니저,설정일,결산일,수탁회사,사무관리
,,코드,명칭,,증감,기준가격,증감,기준가격,증감,기준가격,증감,기준가격,기준가격,과표기준가격,해외비과세과표기준가격,좌수,원본,순자산,주식비율,채권비율,현금성비율,,,,,,,,
31,2022-10-07,07J86,한국투자TDF알아서ETF포커스2050증권투자신탁(혼합-재간접형)(모),재간접,0.08,999.35,1.65,"1,000.82",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,039,156",0,11.87,34.33,999.3463853,"2,557,890,732",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
32,2022-10-07,07J91,한국투자TDF알아서ETF포커스2055증권투자신탁(혼합-재간접형)(모),재간접,0.3,999.54,1.81,"1,000.94",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,631,935",0,10.21,33.77,999.5439783,"2,557,890,732",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
33,2022-10-07,07J96,한국투자TDF알아서ETF포커스2060증권투자신탁(혼합-재간접형)(모),재간접,0.39,999.5,1.85,"1,000.93",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,487,720",0,8.86,35,999.4959067,"2,749,073,339",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
34,2022-10-07,07M02,한국투자TIF알아서평생소득ETF포커스증권투자신탁(채권혼합-재간접형)(모),재간접,-0.68,999.4,0.9,"1,000.48",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,207,219",0,31.63,27.91,999.4024063,"1,557,955,897",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
35,2022-10-08,07J34,한국투자MySuper알아서성장형증권자투자신탁(혼합-재간접형)(모),재간접,0.04,996.36,0.04,996.61,0,0,0,0,0,0,0,"2,700,000,000","2,700,000,000","2,690,174,528",0,0,0.6,996.3609363,"16,200,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
36,2022-10-08,07J41,한국투자MySuper알아서안정형증권자투자신탁(채권혼합-재간접형)(모),재간접,0.03,997.88,0.02,998.55,0,0,0,0,0,0,0,"2,700,000,000","2,700,000,000","2,694,264,914",0,0,0.6,997.8758941,"16,200,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
37,2022-10-08,07J66,한국투자TDF알아서ETF포커스2030증권투자신탁(혼합-재간접형)(모),재간접,0.04,999.36,0.04,"1,000.62",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,084,342",0,24.35,32.33,999.3614473,"2,035,218,593",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
38,2022-10-08,07J71,한국투자TDF알아서ETF포커스2035증권투자신탁(혼합-재간접형)(모),재간접,0.04,999.52,0.04,"1,000.75",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,550,000",0,20.81,30.7,999.5166667,"1,973,423,336",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
39,2022-10-08,07J76,한국투자TDF알아서ETF포커스2040증권투자신탁(혼합-재간접형)(모),재간접,0.04,999.43,0.04,"1,000.77",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,294,509",0,17.32,32.05,999.431503,"2,175,525,518",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
40,2022-10-08,07J81,한국투자TDF알아서ETF포커스2045증권투자신탁(혼합-재간접형)(모),재간접,0.05,999.43,0.04,"1,000.86",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,281,156",0,14.38,33.19,999.427052,"2,366,708,125",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
