순번,산출일자,펀드,,펀드유형,기준가격,,과표기준가격,,비거주자 과표기준가격,,해외비과세과표기준가격,,결산전 기준가격,,,설정규모,,,자산구성비중(%),,,수정기준가격,예금,운용팀,매니저,설정일,결산일,수탁회사,사무관리
,,코드,명칭,,증감,기준가격,증감,기준가격,증감,기준가격,증감,기준가격,기준가격,과표기준가격,해외비과세과표기준가격,좌수,원본,순자산,주식비율,채권비율,현금성비율,,,,,,,,
42,2022-10-09,1MP35,한국투자TDF알아서ETF포커스2035MP,주식형,0,983.15,0,983.58,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","983,152,981,017",0,45.15,0.01,983.152981,"113,484,933",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
43,2022-10-09,1MP40,한국투자TDF알아서ETF포커스2040MP,주식형,0,982.78,0,983.28,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,782,134,053",0,39.58,0.01,982.7821341,"113,559,371",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
44,2022-10-09,1MP45,한국투자TDF알아서ETF포커스2045MP,주식형,0,982.49,0,983.03,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,485,098,913",0,34.55,0.01,982.4850989,"113,817,535",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
45,2022-10-09,1MP50,한국투자TDF알아서ETF포커스2050MP,주식형,0,982.26,0,982.82,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,255,709,696",0,29.86,0.01,982.2557097,"113,980,659",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
46,2022-10-09,1MP55,한국투자TDF알아서ETF포커스2055MP,주식형,0,982.08,0,982.66,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,082,300,710",0,26.11,0.01,982.0823007,"113,872,975",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
47,2022-10-09,1MP60,한국투자TDF알아서ETF포커스2060MP,주식형,0,981.94,0,982.53,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","981,944,711,780",0,23.36,0.01,981.9447118,"113,901,251",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
48,2022-10-09,2MP24,한국투자TIF알아서평생소득ETF포커스MP,주식형,0,984.32,0,984.48,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","984,324,848,616",0,59.72,0.01,984.3248486,"113,847,995",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
49,2022-10-09,3MP01,한국투자MYSUPER알아서 안정형MP,주식형,0,986.29,0,986.17,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","986,289,558,884",0,60.95,0.01,986.2895589,"114,052,412",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
50,2022-10-09,3MP02,한국투자MYSUPER알아서 성장형MP,주식형,0,983.03,0,982.99,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","983,031,470,919",0,22.76,0.01,983.0314709,"115,091,458",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
51,2022-10-10,1MP30,한국투자TDF알아서ETF포커스2030MP,주식형,0,983.62,0,983.95,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","983,618,118,370",0,51.67,0.01,983.6181184,"113,430,330",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
52,2022-10-10,1MP35,한국투자TDF알아서ETF포커스2035MP,주식형,0,983.15,0,983.58,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","983,152,987,453",0,45.15,0.01,983.1529875,"113,484,933",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
53,2022-10-10,1MP40,한국투자TDF알아서ETF포커스2040MP,주식형,0,982.78,0,983.28,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,782,140,493",0,39.58,0.01,982.7821405,"113,559,371",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
54,2022-10-10,1MP45,한국투자TDF알아서ETF포커스2045MP,주식형,0,982.49,0,983.03,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,485,105,368",0,34.55,0.01,982.4851054,"113,817,535",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
55,2022-10-10,1MP50,한국투자TDF알아서ETF포커스2050MP,주식형,0,982.26,0,982.82,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,255,716,160",0,29.86,0.01,982.2557162,"113,980,659",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
56,2022-10-10,1MP55,한국투자TDF알아서ETF포커스2055MP,주식형,0,982.08,0,982.66,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,082,307,168",0,26.11,0.01,982.0823072,"113,872,975",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
